name,impact_p_val,impact,RTC
Copb2,0.00001,****,1
Rpl13a,0.00001,****,1
Snrpe,0.00001,****,1
Eif3e,0.00001,****,1
Eif3i,0.00001,****,1
Nmt1,0.00001,****,1
Chmp4b,0.00001,****,1
Eif3f,0.00001,****,1
Gbf1,0.0001,***,1
Rrm2,0.0001,***,1
Kif11,0.0002,***,1
Psmd1,0.0002,***,1
S100a11,0.0005,***,1
Srp54a,0.0004,***,1
Snx9,0.0017,**,1
Rsl24d1,0.0069,**,1
Stat5a,0.0055,**,1
Nudcd1,0.001,***,1
Tfeb,0.0025,**,1
Twf2,0.0027,**,1
Btf3,0.0019,**,1
Naca,0.0014,**,1
Psmc2,0.0023,**,1
Stx5a,0.0051,**,1
Rangap1,0.0144,*,1
Scfd1,0.0022,**,1
Ykt6,0.0031,**,1
Kpnb1,0.0041,**,1
Zfyve1,0.0117,*,1
Ckap5,0.0136,*,1
Pkmyt1,0.0333,*,1
Acbd5,0.0094,**,1
Chd7,0.0194,*,1
Hmox2,0.0605,ns,1
Vapa,0.014,*,1
Haus6,0.0199,*,1
Kat7,0.018,*,1
Prmt7,0.0184,*,1
Rapgef2,0.0219,*,1
Aak1,0.0194,*,1
Bpnt1,0.0182,*,1
Itpripl1,0.0205,*,1
Tbcb,0.0294,*,1
Dnm1l,0.044,*,1
Bag3,0.0271,*,1
Psmb3,0.0212,*,1
Clint1,0.0277,*,1
Utp20,0.0205,*,1
Lrrfip1,0.0484,*,1
Irs1,0.0261,*,1
Dnajc10,0.0257,*,1
Srp68,0.0331,*,1
Mepce,0.0551,ns,1
Utp3,0.0335,*,1
Fam134b,0.0321,*,1
Ttk,0.0414,*,1
Hid1,0.0882,ns,1
Polr2b,0.0371,*,1
Ctbp2,0.0558,ns,1
Pxn,0.0369,*,1
Uhrf1,0.0468,*,1
Rabgap1,0.0901,ns,1
Mpp1,0.0601,ns,1
Tnpo1,0.0495,*,1
Pcyt2,0.0501,ns,1
Prkar2b,0.0528,ns,1
Cep85,0.1162,ns,1
Stip1,0.0744,ns,1
Trove2,0.0534,ns,1
Spats2,0.1383,ns,1
Eif4g2,0.0655,ns,1
Pdxdc1,0.0851,ns,1
Wwox,0.1058,ns,1
Chaf1a,0.092,ns,1
Stk38,0.0758,ns,1
Tex2,0.1212,ns,1
Picalm,0.0544,ns,1
Larp4,0.1202,ns,1
Arfgap1,0.1126,ns,1
Ssb,0.1246,ns,1
Asap1,0.1192,ns,1
Yap1,0.1246,ns,1
Myo5a,0.1205,ns,1
Agap3,0.135,ns,1
G3bp1,0.0581,ns,1
Ascc3,0.125,ns,1
Txnl1,0.2014,ns,1
Sncg,0.1627,ns,1
Eif4g1,0.1515,ns,1
Fndc3b,0.1507,ns,1
Ubxn4,0.1368,ns,1
Cap1,0.1618,ns,1
Bcar3,0.1911,ns,1
Smad3,0.1808,ns,1
Ttc37,0.1475,ns,1
Capn1,0.1709,ns,1
Stat1,0.0738,ns,1
Cse1l,0.1763,ns,1
Mcm2,0.1001,ns,1
Rnf219,0.1468,ns,1
Eif4g3,0.1911,ns,1
Ranbp2,0.2215,ns,1
Urb1,0.1661,ns,1
Ephx1,0.0967,ns,1
Epb41,0.2136,ns,1
Ddrgk1,0.1016,ns,1
Surf4,0.1417,ns,1
Tln1,0.1653,ns,1
Snx5,0.2345,ns,1
Avl9,0.1394,ns,1
Zc3h15,0.1989,ns,1
Pdap1,0.2105,ns,1
Agpat9,0.194,ns,1
Hdlbp,0.1902,ns,1
Ptpn1,0.1772,ns,1
Abhd16a,0.2545,ns,1
Nufip2,0.1328,ns,1
Gspt1,0.2757,ns,1
Otud7b,0.2896,ns,1
Zyx,0.287,ns,1
Slfn9,0.1383,ns,1
Gsn,0.2628,ns,1
Dhrs9,0.2545,ns,1
Rrbp1,0.174,ns,1
Rmdn2,0.2247,ns,1
Ccdc59,0.2024,ns,1
Cyp4b1,0.1523,ns,1
Nap1l1,0.3073,ns,1
Fam13c,0.2401,ns,1
Cdc37,0.21,ns,1
Cobll1,0.3,ns,1
Stxbp3,0.2435,ns,1
Rasa3,0.2447,ns,1
Smap1,0.2049,ns,1
Ubxn8,0.3106,ns,1
Cast,0.1552,ns,1
Ptpn2,0.2922,ns,1
Snap29,0.3222,ns,1
Fus,0.3236,ns,1
Hectd1,0.3513,ns,1
Birc6,0.3277,ns,1
Arhgap1,0.2695,ns,1
Bet1,0.2131,ns,1
Slk,0.2084,ns,1
Ddhd2,0.2401,ns,1
Kank2,0.3928,ns,1
Mark2,0.2941,ns,1
Eif2a,0.2801,ns,1
Efhd2,0.0631,ns,1
Arhgap35,0.2225,ns,1
Lemd3,0.3426,ns,1
Ankrd11,0.325,ns,1
Rai14,0.3243,ns,1
Kpna3,0.2368,ns,1
Stx18,0.327,ns,1
Ankrd17,0.2481,ns,1
Igbp1,0.287,ns,1
Glmn,0.2407,ns,1
Naa15,0.3277,ns,1
Pask,0.4497,ns,1
Ube2j1,0.2236,ns,1
Prrc2c,0.3236,ns,1
Adnp,0.3564,ns,1
Tars,0.2418,ns,1
H13,0.1661,ns,1
Ptrf,0.3564,ns,1
Dvl3,0.3999,ns,1
Parp10,0.2557,ns,1
Nck1,0.4094,ns,1
Cul4b,0.3006,ns,1
Arap1,0.1278,ns,1
Ola1,0.4372,ns,1
Numbl,0.2039,ns,1
Arhgef18,0.3369,ns,1
Ythdf3,0.3126,ns,1
Pdcl,0.2522,ns,1
Dok1,0.4272,ns,1
Plin3,0.3208,ns,1
Dpysl2,0.3616,ns,1
Arpin,0.3593,ns,1
Lrch3,0.4174,ns,1
Sec22b,0.4634,ns,1
Dhrs13,0.424,ns,1
Dvl2,0.3593,ns,1
Ddx1,0.3758,ns,1
Nsfl1c,0.4694,ns,1
Fam134a,0.4994,ns,1
Sec13,0.366,ns,1
Kif2a,0.2954,ns,1
Preb,0.3099,ns,1
Sh3bp2,0.3608,ns,1
Ciapin1,0.5471,ns,1
Cald1,0.4565,ns,1
Heatr5a,0.2838,ns,1
Ezr,0.3698,ns,1
Sbf1,0.3804,ns,1
Sptlc2,0.4094,ns,1
Mink1,0.6256,ns,1
Hnrnpf,0.4347,ns,1
Clcc1,0.5443,ns,1
Rab32,0.5405,ns,1
Fam129a,0.3819,ns,1
Fam91a1,0.454,ns,1
Rpap3,0.5508,ns,1
Tnrc6b,0.372,ns,1
Myo18a,0.5257,ns,1
Ercc6l,0.4599,ns,1
Fpgs,0.3557,ns,1
Crkl,0.3668,ns,1
Cdv3,0.6276,ns,1
Prpf31,0.4531,ns,1
Pex14,0.3736,ns,1
Dbnl,0.385,ns,1
Syap1,0.6366,ns,1
Praf2,0.5175,ns,1
Prune,0.7202,ns,1
Dst,0.4557,ns,1
Dhx33,,,1
Usp15,,,1
Nfix,,,1
Arhgdib,,,1
Dync1li1,,,1
Ptpn23,,,1
Sacm1l,,,1
Mon1a,,,1
Vangl1,,,1
Igf2bp1,,,1
Shq1,,,1
Eif4b,,,1
Mvp,,,1
Fam114a2,,,1
Ipo9,,,1
Rtn4,,,1
Cyp20a1,,,1
Nans,,,1
Ccdc47,,,1
Helz2,,,1
Kntc1,,,1
Inf2,,,1
Pdcd6ip,,,1
Fam133b,,,1
Larp1,,,1
Cdk12,,,1
Edc4,,,1
Xdh,,,1
Lrrc57,,,1
Tiprl,,,1
Usp47,,,1
Nudc,,,1
Pdzd8,,,1
Galnt2,,,1
Anapc1,,,1
Tnpo3,,,1
Snx2,,,1
Csde1,,,1
Mak16,,,1
Pde12,,,1
Cfap36,,,1
Strip1,,,1
Gtf3c4,,,1
Vps36,,,1
Atxn2,,,1
Ipo7,,,1
Rps6ka4,,,1
Gorasp2,,,1
Fbxo22,,,1
Tmem209,,,1
Pdlim5,,,1
Map2k1,,,1
Stt3b,,,1
Luc7l,,,1
Lman1,,,1
Ecd,,,1
Hsph1,,,1
Atxn10,,,1
Tanc1,,,1
Faf2,,,1
Lpin3,,,1
Ankle2,,,1
Pak1,,,1
Rab3gap1,,,1
Atxn2l,,,1
Ptk2,,,1
Eif5,,,1
Ube3a,,,1
Hnrnpd,,,1
Ilk,,,1
Psmd4,,,1
Sf1,,,1
Raph1,,,1
Rab5c,,,1
Nt5c2,,,1
Sec24d,,,1
Sugt1,,,1
Tdrd3,,,1
Plin4,,,1
Gigyf2,,,1
Arhgap5,,,1
Strn4,,,1
Slmap,,,1
Gen1,,,1
Ube4a,,,1
Cct8,,,1
Ugp2,,,1
Nipbl,,,1
Nbas,,,1
Cyb5r3,,,1
Acbd3,,,1
Lypla2,,,1
Nudcd2,,,1
Khdrbs1,,,1
Hint1,,,1
Prkab1,,,1
Add3,,,1
Svil,,,1
Stxbp1,,,1
Vrk2,,,1
Isyna1,,,1
Mical2,,,1
Sh3pxd2b,,,1
Lnp,,,1
Tmod3,,,1
Lpp,,,1
Copg2,,,1
Tjp1,,,1
Ndrg1,,,1
Sec23ip,,,1
Ppa1,,,1
Aspscr1,,,1
Cttn,,,1
Strn3,,,1
Pon3,,,1
Tbc1d15,,,1
Dab2,,,1
Nudcd3,,,1
Pgrmc2,,,1
Casp12,,,1
Mapre2,,,1
Ahnak,,,1
Usp4,,,1
Swap70,,,1
Osbpl8,,,1
Rbm14,,,1
Ythdf2,,,1
Secisbp2,,,1
Helb,,,1
Eif2b3,,,1
Crk,,,1
Vcpip1,,,1
Canx,,,1
Itpr3,,,1
Efl1,,,1
Coro1b,,,1
2310022B05Rik,,,1
Timm50,,,1
Tbc1d8b,,,1
Ubap2,,,1
Fbxo4,,,1
Msto1,,,1
Atg2b,,,1
Sec24b,,,1
Spg20,,,1
Fxr1,,,1
Rint1,,,1
Fam114a1,,,1
Agfg1,,,1
Chmp7,,,1
Osbpl11,,,1
Crip2,,,1
Fkbp5,,,1
Dlgap5,,,1
Ehbp1,,,1
Snx6,,,1
Irs2,,,1
Ifrd1,,,1
Hcls1,,,1
Lima1,,,1
Tmpo,,,1
Ptpn12,,,1
Wipi2,,,1
Col4a3bp,,,1
Arfip1,,,1
Psmg1,,,1
Puf60,,,1
Pak2,,,1
Rab3gap2,,,1
Wdr44,,,1
Vapb,,,1
Cul5,,,1
Ppp2r5d,,,1
Agap1,,,1
Sqstm1,,,1
Eno3,,,1
Dnajc2,,,1
Camk2g,,,1
Itprip,,,1
Cbx3,,,1
Trip4,,,1
Plaa,,,1
Hn1l,,,1
Serbp1,,,1
Cdk5rap3,,,1
As3mt,,,1
Atad2b,,,1
Ap1g1,,,1
